"Startseite","Home"
"Angebote","Services"
"Uns unterstützen","Support Us"
"Über die KuB","About KuB"
"Aktuelles","News"
"Beratung","Counseling"
"Deutschkurse","German Courses"
"Mitmachen","Contribution"
"Praktikum in der KuB","Internship at KuB"
"Praktikum im Erstkontakt","Front desk internship"
"Praktikum in der Verwaltung","Administrative internship"
"Ehrenamtliche Mitarbeit","Voluntary Work"
"Bezahlte Stellen","Jobs"
"Spenden","Donations"
"Veröffentlichungen","Publications"
"Geförderte Projekte","Funded Projects"
"Kooperationen","Cooperations"
"Referent*innen-Pool","Pool of Lecturers"
"Transparenz","Transparency"
"Forschungsprojekt ""SpAM""","Research Project ""SpAM"""
"Partner","Partners"
"Impressum","Impressum - Legal Notice"
"Datenschutz","Privacy"
"Die Kontakt- und Beratungsstelle für Flüchtlinge und Migrant_innen e. V. (KuB) ist ein gemeinnütziger Verein in Berlin-Kreuzberg. Wir unterstützen Geflüchtete und Migrant*innen aus aller Welt. Wir beraten bei Fragen zum Asylrecht und zum Aufenthaltsrecht. Wir unterstützen bei psychischen und sozialen Problemen. Wir finden, dass allen Menschen ein sicherer Aufenthaltsstatus und politische, soziale und ökonomische Gleichstellung zustehen.","KuB (Kontakt- und Beratungsstelle für Flüchtlinge und Migrant_innen e.V.) - a contact point and advice center for refugees and migrants - is a non profit association based in Berlin-Kreuzberg. We support refugees and migrants from all over the world. We offer advice services on asylum rights and rights of residence. We also provide assistance with mental health and social problems. We believe that everybody has the right to a safe residency permit status as well as political, social and economic equality."
"KuB e.V.","KuB e.V."
"Sorry, no tanslation available","Sorry, no tanslation available"