"Startseite","Page d'accueil"
"Angebote","Nos services"
"Uns unterstützen","Nous aider"
"Über die KuB","Au sujet de la KuB"
"Aktuelles","Actuellement"
"Beratung","Conseils"
"Deutschkurse","Cours d'allemand"
"Mitmachen","Participer"
"Praktikum in der KuB","Un stage à la KuB"
"Praktikum im Erstkontakt","Stage en premier contact"
"Praktikum in der Verwaltung","Un stage à l'adminstration"
"Ehrenamtliche Mitarbeit","Bénévolat"
"Bezahlte Stellen","Offres d'emploi"
"Spenden","Faire un don"
"Veröffentlichungen","Publications"
"Geförderte Projekte","Projets subventionnés"
"Kooperationen","Coopérations"
"Referent*innen-Pool","Réseau de conférenciers·ères*"
"Transparenz","Transparence"
"Forschungsprojekt ""SpAM""","Projet de recherche ""SpAM"""
"Partner","Partenaires"
"Impressum","Mentions légales"
"Datenschutz","Protection des données"
"Die Kontakt- und Beratungsstelle für Flüchtlinge und Migrant_innen e. V. (KuB) ist ein gemeinnütziger Verein in Berlin-Kreuzberg. Wir unterstützen Geflüchtete und Migrant*innen aus aller Welt. Wir beraten bei Fragen zum Asylrecht und zum Aufenthaltsrecht. Wir unterstützen bei psychischen und sozialen Problemen. Wir finden, dass allen Menschen ein sicherer Aufenthaltsstatus und politische, soziale und ökonomische Gleichstellung zustehen.","Le Centre de rencontre et d'aide aux réfugié·e·s* et immigré·e·s* (KuB) est une association à but non lucratif du quartier de Kreuzberg à Berlin. Nous aidons les réfugié·e·s et les immigré·e·s du monde entier. Nous proposons des conseils sur des questions par rapport au droit à l'asile et au droit de séjour. Nous apportons un soutien psycologique et social. Nous sommes d'avis que chaque être humain doit avoir le droit à un permis de séjour sûr et voulons l'égalité des chances sociales et économiques."
"KuB e.V.","KuB e.V."
"Sorry, no tanslation available","Pardon, pas de traduction disponible"