"Alle Angebote der KuB sind kostenlos","Alle Angebote der KuB sind kostenlos"
"Alleinerziehende","Alleinerziehende"
"Alle Kurse gibt es pro Woche 1-mal, 2-mal oder 3-mal.","Alle Kurse gibt es pro Woche 1-mal, 2-mal oder 3-mal."
"Alphabetisierung","Alphabetisierung"
"Angebote","Angebote"
"Anmeldung","Anmeldung"
"Außerdem helfen wir Ihnen bei den Lösungswegen.","Außerdem helfen wir Ihnen bei den Lösungswegen."
"bei **Fragen zum Aufenthaltsrecht, zum Asylrecht und zum Sozialrecht**","bei **Fragen zum Aufenthaltsrecht, zum Asylrecht und zum Sozialrecht**"
"bei **psychischen und sozialen Problemen**","bei **psychischen und sozialen Problemen**"
"Beratung für geflüchtete Frauen*","Beratung für geflüchtete Frauen*"
"Beratungszeiten","Beratungszeiten"
"Beratung zu Asyl und Aufenthalt","Beratung zu Asyl und Aufenthalt"
"Betroffene von häuslicher Gewalt","Betroffene von häuslicher Gewalt"
"Betroffene von sexualisierter Gewalt","Betroffene von sexualisierter Gewalt"
"**Bitte bringen Sie alle Papiere mit**, die für die Beratung wichtig sind. Zum Beispiel:","**Bitte bringen Sie alle Papiere mit**, die für die Beratung wichtig sind. Zum Beispiel:"
"Bitte haben Sie Verständnis, wenn Sie warten müssen.","Bitte haben Sie Verständnis, wenn Sie warten müssen."
"Bürozeiten","Bürozeiten"
"Dabei beachten wir, was für Sie wichtig ist.","Dabei beachten wir, was für Sie wichtig ist."
"Dafür schaffen wir eine geschützte Atmosphäre.","Dafür schaffen wir eine geschützte Atmosphäre."
"Das Büro ist in der Regel offen:","Das Büro ist in der Regel offen:"
"Das ist dein 1. Deutsch-Kurs.","Das ist dein 1. Deutsch-Kurs."
"Das ist dein 2. Deutsch-Kurs.","Das ist dein 2. Deutsch-Kurs."
"Das ist dein 3. Kurs.","Das ist dein 3. Kurs."
"Das ist dein 4. Kurs.","Das ist dein 4. Kurs."
"Das sind vor allem:","Das sind vor allem:"
"Dein 5., 6. oder 7. Deutsch-Kurs.","Dein 5., 6. oder 7. Deutsch-Kurs."
"den Brief vom Rechtsanwalt/von der Rechtsanwältin.","den Brief vom Rechtsanwalt/von der Rechtsanwältin."
"Der Tag ist immer der erste Freitag im Monat.","Der Tag ist immer der erste Freitag im Monat."
"Deutschkurse","Deutschkurse"
"Deutsch lernen","Deutsch lernen"
"Die Frauen*beratung der KuB richtet sich an **geflüchtete Frauen, die besonderen Schutz brauchen**.","Die Frauen*beratung der KuB richtet sich an **geflüchtete Frauen, die besonderen Schutz brauchen**."
"Die KuB ist Teil von dem „Berliner Netzwerk für besonders schutzbedürftige Flüchtlinge“ (BNS).","Die KuB ist Teil von dem „Berliner Netzwerk für besonders schutzbedürftige Flüchtlinge“ (BNS)."
"Diese Menschen übersetzen dann für Sie von Deutsch in Ihre Sprache und umgekehrt.","Diese Menschen übersetzen dann für Sie von Deutsch in Ihre Sprache und umgekehrt."
"Die Uhrzeit ist 15:30 Uhr.","Die Uhrzeit ist 15:30 Uhr."
"Du bist Mutter von einem kleinen Kind?","Du bist Mutter von einem kleinen Kind?"
"Du hast keine Probleme im Alltag.","Du hast keine Probleme im Alltag."
"Du kommst zu uns in die KuB.","Du kommst zu uns in die KuB."
"Du lernst lesen und schreiben.","Du lernst lesen und schreiben."
"Du sprichst Deutsch ein bisschen.","Du sprichst Deutsch ein bisschen."
"Du sprichst Deutsch ganz gut.","Du sprichst Deutsch ganz gut."
"Du sprichst ein bisschen Deutsch.","Du sprichst ein bisschen Deutsch."
"Du übst hier vor allem, Deutsch sprechen.","Du übst hier vor allem, Deutsch sprechen."
"Ein Kurs geht 6 Monate.","Ein Kurs geht 6 Monate."
"E-Mail","E-Mail"
"Es gibt mehrere Kurse:","Es gibt mehrere Kurse:"
"Es ist auch ein Kurs zum Sprechen da.","Es ist auch ein Kurs zum Sprechen da."
"Es kann einige Zeit dauern, bis wir Sie beraten können.","Es kann einige Zeit dauern, bis wir Sie beraten können."
"Fax","Fax"
"Gemeinsam erarbeiten wir Wege, wie Sie Ihre Probleme lösen.","Gemeinsam erarbeiten wir Wege, wie Sie Ihre Probleme lösen."
"immer von 9:30 bis 12:30 Uhr","immer von 9:30 bis 12:30 Uhr"
"Im Mutter-Kind-Kurs lernst du Deutsch. Wir kümmern uns um dein Kind, wenn du im Deutsch-Kurs bist. Für diesen Kurs musst du nicht zur Anmeldung kommen.","Im Mutter-Kind-Kurs lernst du Deutsch. Wir kümmern uns um dein Kind, wenn du im Deutsch-Kurs bist. Für diesen Kurs musst du nicht zur Anmeldung kommen."
"In dem Netzwerk ist die KuB die Frauenfachstelle.","In dem Netzwerk ist die KuB die Frauenfachstelle."
"In diesem Kurs für neu Beginnende kannst du schon lesen und schreiben. Du sprichst Deutsch noch gar nicht. Du lernst hier Deutsch sprechen und verstehen.","In diesem Kurs für neu Beginnende kannst du schon lesen und schreiben. Du sprichst Deutsch noch gar nicht. Du lernst hier Deutsch sprechen und verstehen."
"Informationen:","Informationen:"
"Internet","Internet"
"Kommen Sie bitte persönlich in die KuB.","Kommen Sie bitte persönlich in die KuB."
"Kontakt","Kontakt"
"Kontakt- und Beratungstelle für Flüchtlinge und Migrant_innen e.V.","Kontakt- und Beratungstelle für Flüchtlinge und Migrant_innen e.V."
"Konversations-Kurs:","Konversations-Kurs:"
"Manchmal können wir Sie an dem Tag auch nicht beraten, weil so viele Ratsuchende zu uns kommen. Auch dafür bitten wir Sie um Verständnis.","Manchmal können wir Sie an dem Tag auch nicht beraten, weil so viele Ratsuchende zu uns kommen. Auch dafür bitten wir Sie um Verständnis."
"Mit B2 darfst du an einer Universität studieren.","Mit B2 darfst du an einer Universität studieren."
"Mittwochs haben wir nur für Frauen* geöffnet (13:00 - 17:00 Uhr)","Mittwochs haben wir nur für Frauen* geöffnet (13:00 - 17:00 Uhr)"
"Montag, Dienstag, Donnerstag und Freitag","Montag, Dienstag, Donnerstag und Freitag"
"Mutter-Kind-Kurs:","Mutter-Kind-Kurs:"
"Oder rufen Sie uns an:","Oder rufen Sie uns an:"
"Oder schreiben Sie uns eine E-Mail:","Oder schreiben Sie uns eine E-Mail:"
"Oder Sie machen einen Termin bei uns.","Oder Sie machen einen Termin bei uns."
"Ohne Anmeldung: jeden Montag von 9:00 bis 11:00 Uhr","Ohne Anmeldung: jeden Montag von 9:00 bis 11:00 Uhr"
"Papiere vom Bundesamt für Migration und Flüchtlinge (BAMF), von der Ausländerbehörde, vom Jobcenter und so weiter.","Papiere vom Bundesamt für Migration und Flüchtlinge (BAMF), von der Ausländerbehörde, vom Jobcenter und so weiter."
"Rufen Sie uns bitte an:","Rufen Sie uns bitte an:"
"Schreiben Sie uns dafür eine E-Mail:","Schreiben Sie uns dafür eine E-Mail:"
"Schwangere","Schwangere"
"Sie entscheiden, worüber wir reden.","Sie entscheiden, worüber wir reden."
"Sie gehen keine Verpflichtungen ein.","Sie gehen keine Verpflichtungen ein."
"Sie können sich um 9:00 Uhr bei uns im Büro zur Beratung anmelden. Bei Fragen rufen Sie uns an:","Sie können sich um 9:00 Uhr bei uns im Büro zur Beratung anmelden. Bei Fragen rufen Sie uns an:"
"Sie können zu uns kommen:","Sie können zu uns kommen:"
"Spendenkonto","Spendenkonto"
"Sprechzeiten und Anmeldung","Sprechzeiten und Anmeldung"
"Telefon","Telefon"
"und weitere Angebote.","und weitere Angebote."
"Unsere Beraterinnen sehen sich Ihre ganze Situation an und unterstützen Sie dann.","Unsere Beraterinnen sehen sich Ihre ganze Situation an und unterstützen Sie dann."
"Unterstützung durch Gespräche","Unterstützung durch Gespräche"
"Versuchen Sie es einfach!","Versuchen Sie es einfach!"
"von 9:00 bis 17:00 Uhr","von 9:00 bis 17:00 Uhr"
"Wenn Sie das wünschen, können wir Sie auch anonym beraten. Sie müssen uns dann nicht Ihren Namen nennen.","Wenn Sie das wünschen, können wir Sie auch anonym beraten. Sie müssen uns dann nicht Ihren Namen nennen."
"Wenn Sie eine Beratung brauchen:","Wenn Sie eine Beratung brauchen:"
"Wenn Sie eine*n Sprachmittler*in bei der Beratung dabei haben wollen, rufen Sie bitte vorher bei uns an.","Wenn Sie eine*n Sprachmittler*in bei der Beratung dabei haben wollen, rufen Sie bitte vorher bei uns an."
"Wenn Sie immer an schlimme Dinge denken müssen.","Wenn Sie immer an schlimme Dinge denken müssen."
"Wenn Sie mit jemandem reden wollen.","Wenn Sie mit jemandem reden wollen."
"Wenn Sie mit jemandem über Ihre Probleme reden wollen.","Wenn Sie mit jemandem über Ihre Probleme reden wollen."
"Wenn Sie nicht wissen, wie Sie weiterleben sollen.","Wenn Sie nicht wissen, wie Sie weiterleben sollen."
"Wenn Sie oft und große Angst haben.","Wenn Sie oft und große Angst haben."
"Wenn Sie Probleme mit Ihren Freund*innen haben.","Wenn Sie Probleme mit Ihren Freund*innen haben."
"Wenn Sie Probleme mit Ihrer Familie haben.","Wenn Sie Probleme mit Ihrer Familie haben."
"Wenn Sie schlecht schlafen.","Wenn Sie schlecht schlafen."
"Wenn Sie sehr oft traurig sind.","Wenn Sie sehr oft traurig sind."
"Wenn Sie sich einsam fühlen.","Wenn Sie sich einsam fühlen."
"Wenn Sie sich hilflos fühlen.","Wenn Sie sich hilflos fühlen."
"Wenn Sie sich nicht konzentrieren können.","Wenn Sie sich nicht konzentrieren können."
"Wenn zu viele Gedanken in Ihrem Kopf sind.","Wenn zu viele Gedanken in Ihrem Kopf sind."
"**Wir beraten auf verschiedenen Sprachen**, zum Beispiel Arabisch, Deutsch, Englisch, Italienisch, Kurdisch, Spanisch, Dari, Farsi, Französisch, und so weiter.","**Wir beraten auf verschiedenen Sprachen**, zum Beispiel Arabisch, Deutsch, Englisch, Italienisch, Kurdisch, Spanisch, Dari, Farsi, Französisch, und so weiter."
"Wir beraten nicht am Telefon und nicht per E-Mail.","Wir beraten nicht am Telefon und nicht per E-Mail."
"Wir beraten Sie zu Asyl- und Aufenthaltsrecht.","Wir beraten Sie zu Asyl- und Aufenthaltsrecht."
"Wir beraten:","Wir beraten:"
"Wir bieten kostenlose Deutschkurse an.","Wir bieten kostenlose Deutschkurse an."
"Wir haben auch Sprachmittler*innen.","Wir haben auch Sprachmittler*innen."
"Wir haben zum Beispiel Menschen, die Sie zu Ämtern, Ärzt*innen und Rechtsanwält*innen begleiten.","Wir haben zum Beispiel Menschen, die Sie zu Ämtern, Ärzt*innen und Rechtsanwält*innen begleiten."
"Wir helfen dir einmal im Monat.","Wir helfen dir einmal im Monat."
"Wir hören Ihnen zu.","Wir hören Ihnen zu."
"Wir suchen mit Ihnen zusammen Wege, wie Sie mit Ihren Problemen umgehen können.","Wir suchen mit Ihnen zusammen Wege, wie Sie mit Ihren Problemen umgehen können."
"Wir unterstützen Sie in den Räumen der KuB.","Wir unterstützen Sie in den Räumen der KuB."
"Zu uns kommen sehr viele Ratsuchende. Kommen Sie daher bitte früh am Morgen. Am besten schon um 8:30 Uhr.","Zu uns kommen sehr viele Ratsuchende. Kommen Sie daher bitte früh am Morgen. Am besten schon um 8:30 Uhr."