"Alle Angebote der KuB sind kostenlos","Todos los servicios del KuB son gratuitos"
"Alleinerziehende","Madres solteras"
"Alle Kurse gibt es pro Woche 1-mal, 2-mal oder 3-mal.","Todos los cursos se imparten 1, 2 o 3 veces por semana."
"Alphabetisierung","Curso de alfabetización"
"Angebote","Servicios"
"Anmeldung","Registro"
"Außerdem helfen wir Ihnen bei den Lösungswegen.","Además le ayudamos a encontrar las posibles vías para llegar a una solución."
"bei **Fragen zum Aufenthaltsrecht, zum Asylrecht und zum Sozialrecht**","sobre cuestiones relacionadas con **derecho de residencia, derecho de asilo y derechos sociales**"
"bei **psychischen und sozialen Problemen**","sobre **problemas psíquicos y sociales**"
"Beratung für geflüchtete Frauen*","Asesoramiento para mujeres refugiadas*"
"Beratungszeiten","Horarios de atención para asesoramiento"
"Beratung zu Asyl und Aufenthalt","Asesoramiento sobre asilo y residencia"
"Betroffene von häuslicher Gewalt","Víctimas de violencia doméstica"
"Betroffene von sexualisierter Gewalt","Víctimas de violencia sexual"
"**Bitte bringen Sie alle Papiere mit**, die für die Beratung wichtig sind. Zum Beispiel:","**Traiga toda la documentación necesaria** para el asesoramiento. Por ejemplo: "
"Bitte haben Sie Verständnis, wenn Sie warten müssen.","Le rogamos que nos comprenda si tiene que esperar."
"Bürozeiten","Atención al público"
"Dabei beachten wir, was für Sie wichtig ist.","enfocándonos en sus prioridades."
"Dafür schaffen wir eine geschützte Atmosphäre.","Para ello creamos una atmósfera en la que se sienta protegida."
"Das Büro ist in der Regel offen:","Normalmente la oficina está abierta:"
"Das ist dein 1. Deutsch-Kurs.","Este es tu 1.er curso de alemán."
"Das ist dein 2. Deutsch-Kurs.","Este es tu 2.º curso de alemán."
"Das ist dein 3. Kurs.","Este es tu 3.er curso."
"Das ist dein 4. Kurs.","Es tu 4.º curso."
"Das sind vor allem:","Estas son:"
"Dein 5., 6. oder 7. Deutsch-Kurs.","To 5.º, 6.º o 7.º curso de alemán."
"den Brief vom Rechtsanwalt/von der Rechtsanwältin.","cartas de los abogados."
"Der Tag ist immer der erste Freitag im Monat.","El día es siempre el primer viernes de cada mes."
"Deutschkurse","Cursos de alemán"
"Deutsch lernen","Aprender alemán"
"Die Frauen*beratung der KuB richtet sich an **geflüchtete Frauen, die besonderen Schutz brauchen**.","El asesoramiento para mujeres que ofrece el KuB se dirige principalmente a **mujeres refugiadas, que necesitan protección especial**."
"Die KuB ist Teil von dem „Berliner Netzwerk für besonders schutzbedürftige Flüchtlinge“ (BNS).","El KuB forma parte de la ""Red berlinesa para refugiados particularmente vulnerables"" (BNS)."
"Diese Menschen übersetzen dann für Sie von Deutsch in Ihre Sprache und umgekehrt.","Estas personas le traducirán del alemán a su idioma y viceversa. "
"Die Uhrzeit ist 15:30 Uhr.","La hora, 15:30 h."
"Du bist Mutter von einem kleinen Kind?","¿Eres madre de un niño pequeño?"
"Du hast keine Probleme im Alltag.","No tienes dificultades para comunicarte en tu día a día."
"Du kommst zu uns in die KuB.","Tú vienes al KuB."
"Du lernst lesen und schreiben.","Aprenderás a leer y escribir."
"Du sprichst Deutsch ein bisschen.","Hablas un poco de alemán."
"Du sprichst Deutsch ganz gut.","Hablas bien el alemán."
"Du sprichst ein bisschen Deutsch.","Hablas un poco de alemán."
"Du übst hier vor allem, Deutsch sprechen.","Vas a practicar principalmente la parte oral."
"Ein Kurs geht 6 Monate.","Los cursos duran 6 meses."
"E-Mail","E-mail"
"Es gibt mehrere Kurse:","Existen varios cursos:"
"Es ist auch ein Kurs zum Sprechen da.","También hay un curso para hablar."
"Es kann einige Zeit dauern, bis wir Sie beraten können.","Puede demorar hasta que llegue su turno y podamos atenderle."
"Fax","Fax"
"Gemeinsam erarbeiten wir Wege, wie Sie Ihre Probleme lösen.","Juntos buscamos los caminos para solucionar sus problemas"
"immer von 9:30 bis 12:30 Uhr","de 9:30 a 12:30 h"
"Im Mutter-Kind-Kurs lernst du Deutsch. Wir kümmern uns um dein Kind, wenn du im Deutsch-Kurs bist. Für diesen Kurs musst du nicht zur Anmeldung kommen.","En el curso para madre e hijo aprenderás alemán. Nosotros cuidamos a tu hijo mientras tu estás en el curso de alemán. Para este curso no necesitas pasar por el proceso de inscripción."
"In dem Netzwerk ist die KuB die Frauenfachstelle.","Dentro de esta red, el KuB se especializa en temas relacionados con la mujer."
"In diesem Kurs für neu Beginnende kannst du schon lesen und schreiben. Du sprichst Deutsch noch gar nicht. Du lernst hier Deutsch sprechen und verstehen.","En este curso para principiantes ya puedes leer y escribir. Aún no hablas nada de alemán. Aquí aprenderás a hablar y a entender el alemán."
"Informationen:","Información:"
"Internet","Internet"
"Kommen Sie bitte persönlich in die KuB.","Por favor, acuda personalmente al KuB."
"Kontakt","Contacto"
"Kontakt- und Beratungstelle für Flüchtlinge und Migrant_innen e.V.","Centro de contacto y asesoramiento para refugiados e inmigrantes "
"Konversations-Kurs:","Curso de conversación:"
"Manchmal können wir Sie an dem Tag auch nicht beraten, weil so viele Ratsuchende zu uns kommen. Auch dafür bitten wir Sie um Verständnis.","En ocasiones no podremos atenderle en el mismo día debido a la elevada demanda de asesoramiento. En ese caso, le rogamos de nuevo que nos comprenda."
"Mit B2 darfst du an einer Universität studieren.","Con un B2 puedes estudiar en la universidad."
"Mittwochs haben wir nur für Frauen* geöffnet (13:00 - 17:00 Uhr)","Los miércoles abierto soló para mujeres* (13:00 - 17:00)"
"Montag, Dienstag, Donnerstag und Freitag","Lunes, martes, jueves y viernes"
"Mutter-Kind-Kurs:","Curso para madre e hijo:"
"Oder rufen Sie uns an:","O llámenos por teléfono al:"
"Oder schreiben Sie uns eine E-Mail:","o envíe un e-mail a:"
"Oder Sie machen einen Termin bei uns.","O puede pedir una cita."
"Ohne Anmeldung: jeden Montag von 9:00 bis 11:00 Uhr","Puede acudir sin cita los lunes ente las 9:00 h y las 11:00 h."
"Papiere vom Bundesamt für Migration und Flüchtlinge (BAMF), von der Ausländerbehörde, vom Jobcenter und so weiter.","documentos del Ministerio Federal para Migración y Refugiados (BAMF), de la Oficina de Extranjería, de la Oficina de Empleo, etc."
"Rufen Sie uns bitte an:","por favor llame al:"
"Schreiben Sie uns dafür eine E-Mail:","Para ello, escríbanos un e-mail a:"
"Schwangere","Embarazadas"
"Sie entscheiden, worüber wir reden.","Usted decide sobre qué quiere hablar."
"Sie gehen keine Verpflichtungen ein.","No está obligado a nada."
"Sie können sich um 9:00 Uhr bei uns im Büro zur Beratung anmelden. Bei Fragen rufen Sie uns an:","Puede solicitar asesoramiento en nuestra oficina a partir de las 9:00 h. Si tiene preguntas, llámenos al:"
"Sie können zu uns kommen:","Puede acudir a nosotros:"
"Spendenkonto","Donaciones"
"Sprechzeiten und Anmeldung","Horarios y citas"
"Telefon","Teléfono"
"und weitere Angebote.","y otros servicios"
"Unsere Beraterinnen sehen sich Ihre ganze Situation an und unterstützen Sie dann.","Nuestras asesoras analizan su situación para brindarle el apoyo adecuado."
"Unterstützung durch Gespräche","Apoyo mediante charlas"
"Versuchen Sie es einfach!","¡Solo inténtelo!"
"von 9:00 bis 17:00 Uhr","de 9:00 h a 17:00 h"
"Wenn Sie das wünschen, können wir Sie auch anonym beraten. Sie müssen uns dann nicht Ihren Namen nennen.","Si lo desea, también podemos asesorarle en forma anónima. En ese caso no deberá darnos su nombre."
"Wenn Sie eine Beratung brauchen:","Si necesita asesoramiento,"
"Wenn Sie eine*n Sprachmittler*in bei der Beratung dabei haben wollen, rufen Sie bitte vorher bei uns an.","Si necesita un intérprete durante el asesoramiento, debe llamarnos con antelación. "
"Wenn Sie immer an schlimme Dinge denken müssen.","Si siempre acaba pensando en lo peor."
"Wenn Sie mit jemandem reden wollen.","Si desea hablar con alguien."
"Wenn Sie mit jemandem über Ihre Probleme reden wollen.","Si desea hablar sobre sus problemas con alguien."
"Wenn Sie nicht wissen, wie Sie weiterleben sollen.","Si no sabe cómo continuar con su vida."
"Wenn Sie oft und große Angst haben.","Si tiene pánico a menudo."
"Wenn Sie Probleme mit Ihren Freund*innen haben.","Si tiene problemas con sus amistades."
"Wenn Sie Probleme mit Ihrer Familie haben.","Si tiene problemas familiares."
"Wenn Sie schlecht schlafen.","Si tiene problemas para dormir."
"Wenn Sie sehr oft traurig sind.","Si se siente triste a menudo."
"Wenn Sie sich einsam fühlen.","Si se siente solo/a."
"Wenn Sie sich hilflos fühlen.","Si se siente desamparado/a."
"Wenn Sie sich nicht konzentrieren können.","Si tiene dificultades para concentrarse."
"Wenn zu viele Gedanken in Ihrem Kopf sind.","Si tiene demasiados pensamientos en su mente."
"**Wir beraten auf verschiedenen Sprachen**, zum Beispiel Arabisch, Deutsch, Englisch, Italienisch, Kurdisch, Spanisch, Dari, Farsi, Französisch, und so weiter.","**Ofrecemos asesoramiento en diferentes idiomas**, por ejemplo árabe, alemán, inglés, italiano, curdo, español, darí, persa y francés, entre otros."
"Wir beraten nicht am Telefon und nicht per E-Mail.","No asesoramos ni por teléfono ni por correo electrónico."
"Wir beraten Sie zu Asyl- und Aufenthaltsrecht.","Le asesoramos sobre sus derechos de asilo y residencia."
"Wir beraten:","Asesoramos:"
"Wir bieten kostenlose Deutschkurse an.","Ofertamos cursos de alemán gratuitos."
"Wir haben auch Sprachmittler*innen.","También tenemos intérpretes."
"Wir haben zum Beispiel Menschen, die Sie zu Ämtern, Ärzt*innen und Rechtsanwält*innen begleiten.","Tenemos personal que le puede acompañar a sus citas en los ministerios, médicos/as o con abogados/as."
"Wir helfen dir einmal im Monat.","Te brindamos ayuda una vez al mes."
"Wir hören Ihnen zu.","Le escuchamos."
"Wir suchen mit Ihnen zusammen Wege, wie Sie mit Ihren Problemen umgehen können.","Le ayudaremos a encontrar soluciones para sus problemas."
"Wir unterstützen Sie in den Räumen der KuB.","Le brindamos apoyo en las instalaciones del KuB."
"Zu uns kommen sehr viele Ratsuchende. Kommen Sie daher bitte früh am Morgen. Am besten schon um 8:30 Uhr.","Debido a que son muchas las personas que solicitan asesoramiento, deberá venir temprano. Se recomienda acudir a las 8:30 h."